"title"	"company_logo"	"currency"	"minimum-salary"	"maximum-salary"	"jobType"	"experienceLevel"	"description"	"role"	"skills"	"country"	"city"
"ArcGIS for Office"	"https://i.stack.imgur.com/rBxLQ.png"				"Full-time"	"Junior, Mid-Level, Senior"	""	"Geographic Information System, GIS, Software Development"	""	"unitedstate"	"
                        –
Redlands, CA                    "
"Senior Backend Engineer (Remote)"	"https://grnhse-ghr-prod-s2.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/145/800/original/current_icon.png"				"Full-time"	"Backend Developer"	"What is Current Mobile?
Our mission as a company is to enable budget-conscious consumers to earn additional passive income from their everyday habits. We have millions of monthly users and have achieved over 2,500% revenue growth in 2020. Our users earn millions of dollars a year in rewards by using our products.

Senior Backend Engineer (Remote) For Our Revenue Team The larger organization is split into cross-functional product teams. The Revenue team consists of 2 Android Engineers, 1 Backend Engineer, 1 QA Engineer and 1 Product Manager. We're focused on providing new ways for users to earn, optimizing our ad tech, and building tools to better-visualize our revenue data. In the past 2 months, we have… This work, combined with the hard work from our peers in the Engagement team, has led to over a 3x increase in user lifetime value! By the end of the year, we hope to have sustainably grown to over 400,000 DAU. We operate in 2-week sprints, release Android updates weekly, and control specific functionality through a powerful split testing and feature flagging system. Our Product Managers are committed to measuring and quantifying the impact of every change before we move on. The team varies between working collaboratively and independently. We want everyone to feel encouraged to take a feature from idea through development and post-release all on their own. But, some problems are best solved together, in which case pair programming, whiteboarding sessions, and discussions are frequent. Current has 15 engineers out of 32 people in total, distributed around the world (including Chicago, Mexico, California, Argentina, and Croatia). The Revenue team is based in Chicago, Hermosillo, Los Angeles, Croatia, Mexico City. Technology We rely heavily on the following technologies: Role Expectations You’ll be joining the backend team, working on one (or more!) of the areas/projects mentioned above. The specific projects will vary each sprint. As a member of the backend team, you’ll find yourself... We are looking for a senior-level backend engineer to join the team. We offer a generous salary based on experience and location, stock options, and bonuses. We'd love to talk with you if… Interview Process The process is normally a 30-minute phone interview, a 2-hour technical and management interview, 1 hour interview with a Product Manager, and 30 minute final-round exec/VP interview."	"null"	"ruby,ruby-on-rails,aws,node-js,postgresql"	"unitedstate"	"
                        –
Stafford, TX                    "
"Software Engineer"	"https://cdn.sstatic.net/careers/Img/ico-no-company-logo.svg?v=15d9692a3221"				"Full-time"	"DevOps"	"The Role Pixability brings a data-driven, scientific approach to video marketing. We are at the forefront of this revolution and use large-scale data analysis to make video content more effective. As a backend software engineer, you are a key contributor to the design and development of the system components that power our platform. You are a highly motivated individual who is passionate about building great software. You are excited about the chance to work on the latest open source and cloud-native technologies. You enjoy working within an agile team and are energized by debate, especially around competing technologies and designs. You learn quickly and are a student of clean code and best practices. You are not afraid to speak up and ask questions, even when you think you should know the answer. You are open to new ideas and will learn from those around you. You can give and receive candid feedback as you continually strive to improve. You own what you build and rarely make the same mistake twice. You are comfortable being measured by the results. You show grit when working through the toughest challenges. The Team At Pixability, we build industry-leading products that create significant competitive advantages for our customers. Transparency, quality, urgency, and intellectual honesty are central tenets of our work ethics while we embrace experimentation and collaboration to produce results that customers love. Must Haves Preferred Qualifications Must be authorized to work in the United States or Canada Pixability does not accept/pay fees for unsolicited resumes from third-party agencies/vendors As part of our dedication to the diversity of our workforce, Pixability is committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or religion."	"null"	"python,react,kubernetes,golang,sql"	"unitedstate"	"
                        –
Boston, MA                    "
"Front-end Software Engineer"	"https://i.stack.imgur.com/3CuMC.png"				"Full-time"	"Mid-Level, Senior"	""	"Frontend Developer"	""	"unitedstate"	"
                        –
Mountain View, CA                    "
"Senior Software Engineer (Frontend)"	"https://i.stack.imgur.com/UI3Jl.png"				"Full-time"	"Mid-Level, Senior"	""	"Frontend Developer"	""	"unitedstate"	"
                        –
Ann Arbor, MI                    "
"JavaScript Full Stack Engineer"	"https://cdn.sstatic.net/careers/Img/ico-no-company-logo.svg?v=15d9692a3221"				"Full-time"	"Frontend Developer, Full Stack Developer"	"Full Beaker is looking for a passionate and enthusiastic JavaScript Full Stack Engineer to join our team! We are a small but mighty company that focuses on helping consumers make informed decisions. We are currently focused on two areas: helping people obtain or refinance mortgages, and helping nurses find jobs. We maintain a highly-collaborative environment where everyone is encouraged to take initiative and own the solutions to the problems they identify. We believe in hiring smart people and supporting them while they do great things. What you'll do on a day-to-day basis The best things about this job: Things you should know Here’s what you can expect from our interview process: You'll spend some time talking with our Head of Product, Product Managers, Software Engineers, our CEO, and our founder. During those conversations, we'll be looking to assess whether you're a good cultural fit and that our values are aligned. We encourage you to come prepared with as many questions as possible to determine whether we're a good fit for you! We will assess your ability to act independently and lead to the development of new products. This includes cross-team communication and collaboration, planning and organization, and the ability to move seamlessly from strategy down to the details."	"null"	"javascript,typescript,react,vue,angular"	"unitedstate"	"
                        –
Bellevue, WA                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"Senior Software Engineer"	"https://grnhse-ghr-prod-s3.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/472/200/original/Casana_Symbol_RGB_Mulitcolor.png"				"Full-time"	"Backend Developer"	"Casana is revolutionizing healthcare by creating clinical-grade technology that unobtrusively checks a person’s health in their home. Backed by a top-ranked VC and led by a CEO who founded and led a tech unicorn to a successful IPO, Casana is designing and building the home health platform of the future. We are seeking bright, driven candidates to join our team, shape our culture, and create technology that transforms healthcare. We offer competitive salaries, excellent benefits, unlimited paid time off, and an opportunity to work in a fast-paced, purpose-driven, collaborative environment. We’re currently looking for a Senior Software Engineer to join our team."	"null"	"rest,php,python,c"	"unitedstate"	"
                        –
Boston, MA                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"Senior Software Engineer - PCF, Spring 7-10 years"	"https://i.stack.imgur.com/jmv4I.jpg"				"Full-time"	"Senior, Lead"	""	"IT Consulting, Technology Consulting, Technology Staffing"	""	"unitedstate"	"
                        –
Dearborn, MI                    "
